id,icao24,registration,adep,model,icao_operator
4548453632478155214,403c75,G-BWUH,,PIPER PA-28-181 Cherokee Archer Iii,
4568571220863649680,4009cb,G-FRAI,EGNV,FAN JET FALCON SERIES E Falcon 20e,
4630403560012513207,407152,G-DSAA,EGHI,AW169,
4638841916601426657,4048d5,G-VTAL,EGTE,BEECH V35 Bonanza,
4645153340815540125,407c71,G-OCOL,EGHL,Evektor SportStar,
4663872968395066592,400f3c,G-CBZX,,MCR-01 ULC Banbi,
4724107993168434207,493294,CS-LTT,EDDB,,
4728332533000058250,405178,G-SKPP,EGTE,EC120 B Colibri,
4750719864612592283,404c63,G-CCZL,,IKARUS C42 FB80 Ikarus,
4751976659030744821,4009d2,G-FRAR,,FAN JET FALCON SERIES D Falcon 20d,
4771503681949615115,402c23,G-BOWY,EGUB,PIPER PA-28RT-201T Turbo Cherokee Arrow Iv,
4783956268618650736,4cab3d,EJ-REVA,EGKB,,
4801490113472325788,4ca8d4,EI-ENI,LEAL,BOEING 737-8AS,RYR
4852618898438282625,406de8,G-MCGS,EGHL,AGUSTA AW189,BHL
4899326695752105097,4ca8d4,EI-ENI,,BOEING 737-8AS,RYR
4930196118685373155,43ee10,2-MINI,EGKB,,
4938857967982339976,402563,G-WAVE,,GROB G109B,
4943892871759396484,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
4979869784660042693,400e15,G-FRAD,EGDY,FAN JET FALCON SERIES E Falcon 20e,
5067612904831406935,43edd9,2-TABS,EGTE,,
5259353931834212447,4009cb,G-FRAI,EGDY,FAN JET FALCON SERIES E Falcon 20e,
5266862634279452046,4009cb,G-FRAI,,FAN JET FALCON SERIES E Falcon 20e,
5279167860363519981,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
5291037494690421987,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
5411330989981903572,405200,G-XVIP,EGJB,BEECH 200 Super Kingair,
5414805945469510959,403c75,G-BWUH,,PIPER PA-28-181 Cherokee Archer Iii,
5426921128971908379,405f66,G-CFRM,EGGD,SKYRANGER SWIFT 912S(1) Skyranger,
5437045136397137024,a18ac2,N199MW,EGXG,PA-32-300,
5519909430811696704,4ca8d4,EI-ENI,LMML,BOEING 737-8AS,RYR
5571050807650176876,400f3c,G-CBZX,EGDY,MCR-01 ULC Banbi,
5623381906363887566,406723,G-LBAC,EGHL,EV-97 TEAMEUROSTAR UK Eurostar,
5636047475311486339,4055d6,G-WZOY,EGDY,RANS S6-ESA Coyote Ii,
5636705714992046583,40101b,G-HBBH,,IKARUS C42 FB100 Ikarus,
5636749523339946091,4d02dc,LX-FLI,LSGG,PC-12/47E NGX	,JFA
5663028278194968105,4009cb,G-FRAI,,FAN JET FALCON SERIES E Falcon 20e,
5664842155915896513,405200,G-XVIP,EGJB,BEECH 200 Super Kingair,
5669577173632018778,4009d1,G-FRAP,,FAN JET FALCON SERIES D Falcon 20d,
5671709638844976215,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
5713315208855672354,407907,G-KLLY,EGDY,,
