id,icao24,registration,adep,model,icao_operator
13049732001951916949,4067f2,G-TAWO,,BOEING 737-8K5,TOM
16298671116362477235,4076dd,G-DRTH,,,
1966076949664844830,407990,G-SADB,,,
4761878422851111663,4d250d,9H-FLYIN,,Embraer Phenom 300,TEU
7571993200941443805,407990,G-SADB,,,
5001321994719141417,407990,G-SADB,,,
11654989517448804250,4ca912,EI-EPD,LEAL,BOEING 737-8AS,RYR
1002144430731737205,408166,,EGBJ,,
1177339460765452586,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
10656929267331659829,4009d4,G-FRAT,,FAN JET FALCON Falcon 20,
16322929087981360158,4009cd,G-FRAK,,FAN JET FALCON SERIES D Falcon 20d,
